"country","coef","value","date","step","rank"
"CI","icgcw_alerts",1.99164940250332e-16,"2014-01-31",4,NA
"CI","icgcw_alerts",1.99277761192302e-16,"2014-01-31",5,NA
"CI","icgcw_alerts",9.63303822361966e-17,"2014-02-28",1,NA
"CI","icgcw_alerts",9.63909361031027e-17,"2014-02-28",2,NA
"CI","icgcw_alerts",1.99220803448298e-16,"2014-02-28",5,NA
"CI","icgcw_alerts",9.63303822361966e-17,"2014-04-30",2,NA
"CI","icgcw_alerts",9.63909361031027e-17,"2014-04-30",3,NA
"CI","icgcw_alerts",9.63303822361966e-17,"2014-06-30",3,NA
"CI","icgcw_alerts",1.76955451250993e-16,"2014-06-30",7,NA
"CI","icgcw_alerts",9.61881966043543e-17,"2014-07-31",1,NA
"CI","icgcw_alerts",1.76810615106299e-16,"2014-07-31",6,NA
"CI","icgcw_alerts",9.62156376512389e-17,"2014-08-31",2,NA
"CI","icgcw_alerts",1.76764126025774e-16,"2014-08-31",6,NA
"CI","icgcw_alerts",1.76810615106299e-16,"2014-09-30",7,NA
"CI","icgcw_alerts",9.61086594415564e-17,"2014-10-31",1,NA
"CI","icgcw_alerts",9.62156376512389e-17,"2014-10-31",3,NA
"CI","icgcw_alerts",1.76764126025774e-16,"2014-10-31",7,NA
"CI","icgcw_alerts",1.92166073514779e-16,"2014-11-30",1,NA
"CI","icgcw_alerts",1.98753922474859e-16,"2014-11-30",5,NA
"CI","icgcw_alerts",1.76629688815344e-16,"2014-11-30",6,NA
"CI","icgcw_alerts",9.6057840419358e-17,"2014-12-31",1,NA
"CI","icgcw_alerts",9.61086594415564e-17,"2014-12-31",2,NA
"CI","icgcw_alerts",1.92322455758894e-16,"2014-12-31",3,NA
"CI","icgcw_alerts",9.61347193857167e-17,"2015-01-31",3,NA
"CI","icgcw_alerts",1.76629688815344e-16,"2015-01-31",7,NA
"CI","icgcw_alerts",9.6057840419358e-17,"2015-02-28",2,NA
"CI","icgcw_alerts",9.61086594415564e-17,"2015-02-28",3,NA
"CI","icgcw_alerts",1.91969411318131e-16,"2015-03-31",1,NA
"CI","icgcw_alerts",9.60830367573893e-17,"2015-03-31",3,NA
"CI","icgcw_alerts",9.6057840419358e-17,"2015-04-30",3,NA
"CI","icgcw_alerts",9.59847056590653e-17,"2015-05-31",2,NA
"CI","icgcw_alerts",1.76381513328025e-16,"2015-05-31",6,NA
"CI","icgcw_alerts",3.83660192292724e-16,"2015-06-30",1,NA
"CI","icgcw_alerts",9.59611125545433e-17,"2015-06-30",2,NA
"CI","icgcw_alerts",1.98439585888974e-16,"2015-06-30",5,NA
"CI","icgcw_alerts",1.91785118116706e-16,"2015-07-31",1,NA
"CI","icgcw_alerts",1.91969411318131e-16,"2015-07-31",3,NA
"CI","icgcw_alerts",1.76304353811972e-16,"2015-07-31",6,NA
"CI","icgcw_alerts",9.58704208940687e-17,"2015-08-31",1,NA
"CI","icgcw_alerts",3.83660192292724e-16,"2015-08-31",2,NA
"CI","icgcw_alerts",1.9835645135758e-16,"2015-08-31",5,NA
"CI","icgcw_alerts",9.58925590583529e-17,"2015-09-30",2,NA
"CI","icgcw_alerts",1.76304353811972e-16,"2015-09-30",7,NA
"CI","icgcw_alerts",1.91654329558736e-16,"2015-10-31",1,NA
"CI","icgcw_alerts",3.83660192292724e-16,"2015-10-31",3,NA
"CI","icgcw_alerts",9.58060312762971e-17,"2015-11-30",1,NA
"CI","icgcw_alerts",9.58925590583529e-17,"2015-11-30",3,NA
"CI","icgcw_alerts",2.87481494338104e-16,"2015-12-31",2,NA
"CI","icgcw_alerts",1.76122352502403e-16,"2015-12-31",6,NA
"CI","icgcw_alerts",9.58060312762971e-17,"2016-01-31",2,NA
"CI","icgcw_alerts",1.98085927217842e-16,"2016-01-31",4,NA
"CI","icgcw_alerts",1.91654329558736e-16,"2016-02-29",3,NA
"CI","icgcw_alerts",1.98049676166224e-16,"2016-02-29",4,NA
"CI","icgcw_alerts",1.76122352502403e-16,"2016-02-29",7,NA
"CI","icgcw_alerts",1.915294324972e-16,"2016-03-31",2,NA
"CI","icgcw_alerts",1.7602003544733e-16,"2016-03-31",6,NA
"CI","icgcw_alerts",9.57050188059306e-17,"2016-04-30",1,NA
"CI","icgcw_alerts",9.57852174998145e-17,"2016-04-30",3,NA
"CI","icgcw_alerts",1.98049676166224e-16,"2016-04-30",5,NA
"CI","icgcw_alerts",1.75986996322749e-16,"2016-04-30",6,NA
"CI","icgcw_alerts",1.76020035447331e-16,"2016-05-31",7,NA
"CI","icgcw_alerts",9.56666604163657e-17,"2016-06-30",1,NA
"CI","icgcw_alerts",9.57050188059306e-17,"2016-06-30",2,NA
"CI","icgcw_alerts",3.51973992645498e-16,"2016-06-30",7,NA
"CI","icgcw_alerts",9.56856998187121e-17,"2016-07-31",2,NA
"CI","icgcw_alerts",1.97876532192273e-16,"2016-07-31",4,NA
"CI","icgcw_alerts",1.75890907532595e-16,"2016-07-31",6,NA
"CI","icgcw_alerts",9.56666604163657e-17,"2016-08-31",2,NA
"CI","icgcw_alerts",9.57050188059306e-17,"2016-08-31",3,NA
"CI","icgcw_alerts",1.7585984919693e-16,"2016-08-31",6,NA
"CI","icgcw_alerts",1.97810837329266e-16,"2016-09-30",4,NA
"CI","icgcw_alerts",1.97876532192273e-16,"2016-09-30",5,NA
"CI","icgcw_alerts",1.75829258222172e-16,"2016-09-30",6,NA
"CI","icgcw_alerts",1.75890907532595e-16,"2016-09-30",7,NA
"CI","icgcw_alerts",2.86888189305828e-16,"2016-10-31",2,NA
"CI","icgcw_alerts",9.56666604163657e-17,"2016-10-31",3,NA
"CI","icgcw_alerts",1.9777870878319e-16,"2016-10-31",4,NA
"CI","icgcw_alerts",1.7585984919693e-16,"2016-10-31",7,NA
"CI","icgcw_alerts",9.55754521683526e-17,"2016-11-30",1,NA
"CI","icgcw_alerts",1.91222320629508e-16,"2016-11-30",2,NA
"CI","icgcw_alerts",9.56478945731564e-17,"2016-11-30",3,NA
"CI","icgcw_alerts",1.97810837329266e-16,"2016-11-30",5,NA
"CI","icgcw_alerts",1.75829258222172e-16,"2016-11-30",7,NA
"CI","icgcw_alerts",2.86888189305828e-16,"2016-12-31",3,NA
"CI","icgcw_alerts",1.9777870878319e-16,"2016-12-31",5,NA
"CI","icgcw_alerts",1.75769436783465e-16,"2017-01-31",7,NA
"CI","icgcw_alerts",9.55069469058188e-17,"2017-03-31",1,NA
"CI","icgcw_alerts",9.55754521683526e-17,"2017-03-31",3,NA
"CI","icgcw_alerts",3.51309923411701e-16,"2017-03-31",6,NA
"CI","icgcw_alerts",1.7562736569439e-16,"2017-04-30",6,NA
"CI","icgcw_alerts",1.7562736569439e-16,"2017-06-30",7,NA
"CI","icgcw_alerts",9.54420663053985e-17,"2017-07-31",1,NA
"CI","icgcw_alerts",1.97509346754105e-16,"2017-07-31",4,NA
"CI","icgcw_alerts",1.97509346754105e-16,"2017-09-30",5,NA
"CI","icgcw_alerts",1.75495098703751e-16,"2017-09-30",6,NA
"CI","icgcw_alerts",2.86279137053581e-16,"2017-10-31",2,NA
"CI","icgcw_alerts",9.54420663053985e-17,"2017-11-30",3,NA
"CI","icgcw_alerts",1.75495098703751e-16,"2017-11-30",7,NA
"CI","icgcw_alerts",1.97373568564508e-16,"2017-12-31",4,NA
"CI","icgcw_alerts",3.50840061711829e-16,"2017-12-31",6,NA
"CI","icgcw_alerts",9.53509363680551e-17,"2018-01-31",1,NA
"CI","icgcw_alerts",3.94694968637019e-16,"2018-01-31",4,NA
"CI","icgcw_alerts",1.97373568564508e-16,"2018-02-28",5,NA
"CI","icgcw_alerts",1.90644172402961e-16,"2018-03-31",1,NA
"CI","icgcw_alerts",9.53509363680551e-17,"2018-03-31",2,NA
"CI","icgcw_alerts",1.97296331589127e-16,"2018-03-31",4,NA
"CI","icgcw_alerts",2.85923793759624e-16,"2018-04-30",1,NA
"CI","icgcw_alerts",9.53364201013693e-17,"2018-04-30",2,NA
"CI","icgcw_alerts",1.97321740871942e-16,"2018-04-30",5,NA
"CI","icgcw_alerts",1.90644172402961e-16,"2018-05-31",2,NA
"CI","icgcw_alerts",9.53509363680551e-17,"2018-05-31",3,NA
"CI","icgcw_alerts",2.85923793759624e-16,"2018-06-30",2,NA
"CI","icgcw_alerts",1.75278674433799e-16,"2018-06-30",6,NA
"CI","icgcw_alerts",9.52939519261182e-17,"2018-07-31",2,NA
"CI","icgcw_alerts",9.5307931253208e-17,"2018-08-31",3,NA
"CI","icgcw_alerts",1.75233973361841e-16,"2018-08-31",6,NA
"CI","icgcw_alerts",1.75278674433799e-16,"2018-08-31",7,NA
"CI","icgcw_alerts",1.97197909258755e-16,"2018-09-30",5,NA
"CI","icgcw_alerts",3.50512359235309e-16,"2018-09-30",7,NA
"CI","icgcw_alerts",9.52265786542104e-17,"2018-10-31",1,NA
"CI","icgcw_alerts",1.75233973361841e-16,"2018-10-31",7,NA
"CI","icgcw_alerts",1.9042717508699e-16,"2018-11-30",1,NA
"CI","icgcw_alerts",1.97104344983767e-16,"2018-11-30",4,NA
"CI","icgcw_alerts",1.90453157308421e-16,"2018-12-31",2,NA
"CI","icgcw_alerts",1.97081671093824e-16,"2018-12-31",4,NA
"CI","icgcw_alerts",1.9042717508699e-16,"2019-01-31",2,NA
"CI","icgcw_alerts",9.51755301591914e-17,"2019-02-28",1,NA
"CI","icgcw_alerts",9.52265786542104e-17,"2019-02-28",3,NA
"CI","icgcw_alerts",9.51755301591914e-17,"2019-04-30",2,NA
"CI","icgcw_alerts",1.96993689718313e-16,"2019-04-30",4,NA
"CI","icgcw_alerts",9.51387911676989e-17,"2019-05-31",1,NA
"CI","icgcw_alerts",2.85489422289841e-16,"2019-05-31",2,NA
"CI","icgcw_alerts",9.51880660027357e-17,"2019-05-31",3,NA
"CI","icgcw_alerts",3.50092472225516e-16,"2019-05-31",6,NA
"CI","icgcw_alerts",3.93902520236827e-16,"2019-06-30",4,NA
"CI","icgcw_alerts",1.96993689718313e-16,"2019-06-30",5,NA
"CI","icgcw_alerts",9.51387911676989e-17,"2019-07-31",2,NA
"CI","icgcw_alerts",2.85489422289841e-16,"2019-07-31",3,NA
"CI","icgcw_alerts",1.75046236112758e-16,"2019-07-31",7,NA
"CI","icgcw_alerts",1.90206606453305e-16,"2019-08-31",1,NA
"CI","icgcw_alerts",1.90253652080646e-16,"2019-08-31",2,NA
"CI","icgcw_alerts",1.74988129333362e-16,"2019-08-31",6,NA
"CI","icgcw_alerts",1.90277582335398e-16,"2019-09-30",3,NA
"CI","icgcw_alerts",1.74969219084073e-16,"2019-09-30",6,NA
